SymphonyKey,BPM,Rolloff,Flux,RMS,Flatness,SpectralComplexity,Pitch,Loudness
ea15b4c7f94541959e9331278a5562ca,122.22,1401.5597,1.1518,0.2091,0.9008,21.3362,2287.5013,22.2948
dfe5f31a6c3a423a8b3ba5acce95cf7a,104.88,1397.9528,1.362,0.2354,0.8254,26.3092,2402.7881,26.679
a09767c81aab4b6db5fe0d2c9ce62f54,142.12,2003.6417,1.3085,0.1957,0.8317,25.7311,2059.8171,20.3535
b16ba8a93f164e30a981f5be08e3d623,114.67,911.7727,1.2797,0.3039,0.9304,28.8953,2755.4281,35.0052
339c5ead380c4a529ded968cd011186c,122.95,1557.141,1.3555,0.2961,0.8934,33.8047,2750.6078,34.0028
bb12e5a121ea41d69c22f77d40caa1ce,117.7,1166.8842,1.3235,0.2126,0.9082,20.7593,2553.1109,23.1476
8e1b841d93c54326b9387ccb2c9edaf3,124.23,1290.9085,1.1678,0.3187,0.8511,43.0438,2067.4024,36.8162
477ef7bfed2d461da6579f7700a2ba7c,100.01,1836.8605,1.434,0.2123,0.8644,25.2745,2045.0869,21.3904
9c6d11fecd1f41ebabe22e43463c2d19,117.95,1374.6311,1.3102,0.2608,0.8934,27.8856,2284.7715,29.4744
9f419dd8c8ad451592177c88b447d5f8,95.97,1207.0864,1.3057,0.2515,0.9001,28.32,2270.7217,27.5154
047b9851c3b148c1a948bf3d9392089a,96.45,1325.8035,1.2398,0.1128,0.8626,11.3287,2124.0971,9.9054
f147ab5fdfd74e19974472f97f9f6189,164.02,1174.9606,1.3293,0.2359,0.911,24.7876,2493.6296,25.5162
8f2ef4292d6540c79c3864cae7becc5c,108.78,1725.3368,1.2915,0.2121,0.8805,30.8538,2497.8086,22.3439
cc58edc069554bb8a5f71ac8674cc880,100.04,1670.4844,1.52,0.2453,0.9022,25.5692,2064.7418,26.8753
f3cd37949e7643bca3df411c3b96a3fa,102.1,1878.3802,1.2554,0.2441,0.8411,33.6152,1812.3025,26.7746
9782c4bf0a5443e4a69456a0b41d664b,104.97,1674.7742,1.3599,0.1661,0.8538,22.3497,1947.1835,16.0175
bf2113011261439794046e87f50ab08a,109.99,1853.48,1.3685,0.1882,0.8688,23.1512,2121.7348,18.4222
be4188b9648a4404bcbd9f5e3f557b42,102.05,1663.7935,1.2846,0.1809,0.8755,22.3882,2205.558,17.9614
5ab145d6b32a41f3bfc87bfc617cf4d6,81.95,1291.5644,1.2652,0.1136,0.9702,14.3702,2117.7696,9.4271
62c9560c8ded42c6a544128e032fd4e6,142.14,1741.9075,1.2491,0.2636,0.8686,26.987,1983.0205,29.074
d234ab54d7a1450f9426246aacff4e30,164.93,1535.5513,1.3708,0.2494,0.8689,19.7827,2610.0362,27.326
ef1370a65bf34f66816d219d2ed9e07e,102.82,1877.3382,1.3278,0.2734,0.8226,33.5222,2507.9734,32.1987
4ef81d9b5ab14964abe29f000a536ed1,98.01,2030.2971,1.3761,0.2771,0.8354,30.7293,2335.7343,31.6957
d49af917178940719de2ca17258aa543,143.99,1328.0642,1.5289,0.2153,0.885,14.4982,2690.7177,22.1261
bef0bfc3ded8403caef3c6116b4fcfe4,100.02,2091.848,1.3878,0.2128,0.9073,30.6005,1803.9975,21.418
0a5c5f399ee14894a30a8f2878bbbc0d,128.08,884.8261,1.3439,0.1846,0.8996,9.8603,3004.6856,18.3277
283142a5a7464abb928933dbb7e93ebe,172.27,2480.0144,1.2273,0.1646,0.8243,30.4336,1555.062,15.2871
6ccbb5b39ff54eeea87190f9e50b7b03,119.86,942.8636,1.2891,0.1908,0.8991,10.3903,1675.5322,19.5278
00314337dfd64d7bb169b54dda081328,106.975,1551.0487,1.2571500000000002,0.2297,0.88245,27.3321,2241.1682,24.6675
221883971e5241febe4b373030e052e8,96.45,1325.8035,1.2398,0.1128,0.8626,11.3287,2124.0971,9.9054
ccbfe51fe5bb4417974ea0bf7d8998d6,155.92,1255.618,1.2028,0.3363,0.9106,37.8036,2325.0992,40.3835
f045fdace68545899802f12cbc1fce80,123.65,1433.8136,1.2458,0.1241,0.8946,11.4577,2505.6631,10.8909
b369834657b24b02a2e0fa533e29d260,112.8,1681.8529,1.1123,0.2375,0.9034,32.0066,1881.4201,25.2624
1cc9cbab123a49e68e863fee6f0b1921,120.8,1855.9003,1.0024,0.225,0.8221,26.7146,1723.4627,24.7841
6dc8684752f14ad7b65104d8ab57b91c,118.35,1676.082,1.1742,0.1989,0.8641,30.7594,1777.1598,20.2043
61de39dbc680476e8ed5eab4312f0af7,135.94,2361.1278,1.4271,0.2528,0.8494,23.3399,2377.691,27.2185
b34da42415d242349985957b7263f1bd,97.99,1810.9991,1.3935,0.2614,0.8588,35.1553,1825.1888,28.6639
1a223a0125d74a88ad788afafb15f942,165.57,1092.3687,1.1018,0.2103,0.9481,29.5025,1559.9011,21.2463
237f33d53d6744d990d9c18fe7a04109,83.07,1626.6757,1.0795,0.1286,0.8804,18.764,1472.6872,11.2622
1f28b0ffd17e4b10aa206ceb07b12f3e,89.92,2001.121,1.238,0.2289,0.8253,34.3188,1849.645,24.1778
fcb75190e2254ecea9374293ad18623d,85.01,1966.5092,1.1789,0.2422,0.8038,33.6837,1878.7339,26.1175
d4b987074400458db5fd10c20050609d,101.94,2526.6177,1.2988,0.24,0.7834,37.7952,2003.6959,25.9995
79fe9ec930724345bea806d38989eb65,123.87,1525.7309,1.1228,0.229,0.8495,26.433,1871.8697,25.241
63c986ab2d8d48b190fe2b347d9d8b4f,103.99,1307.7308,1.0938,0.1863,0.9383,25.2289,1922.7629,18.5034
ebc6b1ccf07e484a8a9f73ff4ce23412,164.14,1906.6516,1.1777,0.1885,0.8374,31.1961,1905.3194,20.0391
fb7f4c3d27d74bf0946a58bffde51a61,99.85,1696.8278,1.176,0.2208,0.8937,28.7131,2019.1435,23.6573
1db0f4b1d8d2480a8dbf01066e332a4f,116.96,1453.269,1.2323,0.3146,0.8781,37.4723,1993.2678,36.2402
1f9385d1ce51408f8198e71203ae1789,117.79,1697.1483,1.1602,0.171,0.9026,19.5408,1989.8891,16.5926
8464db123b3547c5a1125e3189a1e3b6,92.09,1640.2451,1.0385,0.22,0.8627,30.9421,1719.0353,23.7514
06fb61edf87444dab84d4193a273e2b9,139.97,1257.2251,0.986,0.0783,0.8063,8.7394,1991.7068,6.2968
8953b5a763a94a6195424c44f77511d0,139.95,1949.2216,0.9708,0.1235,0.8752,17.7127,1791.7425,11.3256
a2dc483fcd95427daf1deb679971e812,115.35,1299.2277,1.1207,0.2649,0.916,32.6338,2209.2564,29.4904
6657ef2fb56d42ff81cd49dea4d675f8,89.85,1959.882,1.1485,0.2419,0.8944,36.0126,2001.5049,25.6667
14928df0a9c049e09b183209d2893176,117.88,2140.234,1.1117,0.2544,0.8171,34.6737,2022.2388,28.009
589f4cfd128c46a2bae1e0874509b50d,114.88,1890.7792,1.0121,0.1669,0.8529,20.7972,1689.2871,16.2001
cc2a8397542a4e57bf521eea341d19e4,95.3,2742.0943,1.377,0.2266,0.8592,28.0899,1924.6794,23.5755
20eb1e6397304bcf8bd417e7c197d3f1,147.97,2388.1245,1.3361,0.0362,0.8141,6.7419,3027.0889,2.4698
8a018f04faff4a4e9097f9fb3e480ecf,149.49,1965.8871,0.9677,0.1341,0.831,18.9019,2138.5227,13.3104
658df87487864c17bad51be7835abaae,99.85,1696.8278,1.176,0.2208,0.8937,28.7131,2019.1435,23.6573
8df15c1f55264b6d987e70bb2399de8e,96.99,2161.1713,1.3931,0.2626,0.8235,33.1024,2411.5925,29.2878
717711f1f0ab4dd28f8a27ce7a3491ee,105.0,1664.7941,1.1652,0.1947,0.9133,30.5575,2195.0775,19.8458
c7f6d0f6c199429ebdbe0289662134c6,152.76,2472.0097,1.1709,0.1392,0.8306,23.7165,1960.6922,13.139
24921edbde9d430484ee3f246c88952a,165.59,1105.2764,1.0863,0.2269,0.9074,28.2931,1931.7829,24.8198
287e7190b33f484680b726ee54ba8170,143.15,2269.3179,1.2104,0.1545,0.8686,19.7747,2164.3736,15.3918
d3571100da4e4e66be5497c36ab96c95,164.21,911.0792,1.0863,0.0469,0.7685,5.5482,2147.5617,3.0395
a867a6023969439fa084370f591bff1f,71.52,2384.9098,1.3276,0.1877,0.854,22.6539,2383.5316,19.5479
60ac592a7b4043c1aa44d2ae45d6dcc2,119.99,2206.2041,1.2167,0.2379,0.8373,34.6296,2426.3639,25.9216
2f9fa4bc11014d8aad58d90d794e96c4,109.93,1392.1472,1.1312,0.2321,0.8974,28.071,2081.7819,25.4888
9055a78618bd46339e18270a9978483b,128.13,1643.6374,1.3086,0.1891,0.8966,28.3094,1996.9504,18.7399
5e85c0bf93304581a023fb0cd8e67a61,119.98,1766.5243,1.1383,0.2752,0.8244,38.336,1670.8472,30.6277
288b4c060ee54742b5038552a5cc1934,172.27,2164.6181,1.1645,0.2465,0.8365,36.2506,2174.1046,26.3237
4aabe75bb86040ed8086bf03233f72e7,139.09,1674.9314,1.1507,0.292,0.885,43.6786,2066.9335,32.7928
92a45c8119a14198a0069cc6196a3c9a,163.91,1440.421,1.043,0.2134,0.9414,32.8166,1838.2189,22.0763
18b9b5bf2056448194111966b04c2219,144.61,995.4358,1.1248,0.2384,0.9203,28.478,2089.4875,26.5671
a10b2cb47eed420c8b1f88e6157050d8,117.88,2140.234,1.1117,0.2544,0.8171,34.6737,2022.2388,28.009
4e60aa709c3c4d03afb262ca7b883d1e,90.1,1068.3332,0.992,0.1652,0.921,18.7117,1698.4194,16.0579
14e9d77a49314cddae1beabd21bf35b1,129.99,2376.7505,1.0963,0.2779,0.7882,43.3783,2089.6121,30.7099
29892e84e00e416eac5e4b7260d0768c,148.27,1293.5099,1.0615,0.1911,0.9413,18.3005,1822.9448,18.6863
5cabccb1a37d4845b713d1428d7b6f7a,79.92,1696.6657,1.0766,0.2475,0.8731,29.657,2192.1247,26.9923
c68355997a154266867f7dd4538bc42a,97.15,1251.5954,1.1822,0.2274,0.8816,22.6252,2156.859,25.3745
7fc17d4e38ca4362bd03a40770105401,150.84,1823.8799,1.1336,0.1386,0.8414,16.2819,1632.7056,12.9153
7e503272bcf24eb1a8ba26e48e7a6582,122.78,1658.5487,1.1396,0.1887,0.878,24.1614,1755.6582,18.7812
a924a9299f1d4bfe8383beb6099cc08b,104.02,1507.058,1.0352,0.1085,0.9079,15.4999,1555.1525,8.9099
fa0f2f8f0bb540e88d627386ee3aa035,79.86,3251.6721,1.4809,0.1505,0.7872,21.8277,1998.6323,14.1474
73dcebbd65454fca982eaa4c9c74f2ac,135.64,1634.3491,1.0468,0.5916,0.95,61.2225,1942.9244,81.9478
d86ae436c2654353a8127a29a16a50ad,162.93,2492.6612,1.0772,0.1738,0.826,25.6841,1774.7425,16.9647
b7e6359c3fd745c1990450b7956a4c2f,83.97,1513.4018,1.0541,0.3089,0.9329,50.1635,1527.6942,34.702
8183e164ec5c4d53ab84770035c32bb4,126.24,1299.1366,1.3187,0.0479,0.8002,6.3499,2422.337,3.0257
408d33780de14eb3926a0a499b7ce392,96.42,551.1992,1.2526,0.1866,0.9807,14.2465,2104.6225,18.2422
88c7bdb8b2e74698a7f2784381b4d1f1,89.99,2162.1072,1.1973,0.2168,0.732,25.6232,2168.503,24.8034
86c49af1dbb34fa5929d981dc935df1a,90.05,1666.7213,1.2422,0.2231,0.8702,25.6461,2106.2023,24.2337
ff19ed41816045078178b0d6bcd1c63f,150.19,2198.4763,1.2014,0.1555,0.8532,20.9463,2270.9921,14.9904
46d069da8d264d7793cbad1f0025d05e,122.26,1431.3953,1.0143,0.2282,0.8597,25.6956,1346.0725,24.2382
a43c294f04ec4444a88dd808ba764649,116.96,1453.269,1.2323,0.3146,0.8781,37.4723,1993.2678,36.2402
2b8df4d0e3074768989e3c1c3d62356b,100.48,1193.37,1.3383,0.2812,0.9524,23.1899,2008.3294,31.4019
4a68e7c675ed4000bdd68f494355a5a9,113.95,2096.5049,1.2659,0.0382,0.6509,5.6112,2489.1112,2.4215
9c1710b2ad684e4fb6f75b2fe6e1dd71,150.19,3129.9812,1.2094,0.1262,0.7213,21.2777,1913.4062,11.2966
91cc10310ec1450d89ccc406f4539a38,123.76,994.2773,1.2238,0.2298,0.8533,23.914,2252.3836,25.2464
8a73bd68855b4d5ba74f548933daa300,146.14,615.6104,1.4789,0.3409,0.9272,15.7459,2865.9747,41.6719
65b46a07a3db4bf9822733902116559f,184.57,3020.4947,1.2318,0.1718,0.842,23.7847,2333.9627,16.589
717355df22bf497ea77fbdee9bb4804a,143.25,1220.2561,1.1363,0.0953,0.7286,11.0996,2262.3125,8.1771
9a094f0298234852b0370d3000fb4b9a,105.0,1664.7941,1.1652,0.1947,0.9133,30.5575,2195.0775,19.8458
ccc318922a534a2e8716ee2b27a82257,83.07,1626.6757,1.0795,0.1286,0.8804,18.764,1472.6872,11.2622
4f38adb2dd5f467e8c5904d836b1dc88,146.06,1127.9579,0.944,0.2126,0.8885,29.3699,1321.6278,21.9908
58ce34662600481f82abcaf519ac992d,99.76,2012.4045,1.4012,0.1746,0.8877,17.8227,2027.7249,17.3476
9c756e1fcc934bc193e80510d212ec4b,129.99,1805.2343,1.3294,0.1935,0.8826,23.7241,2362.5395,20.0809
8f8e4eeb08aa4b5ca5b144f9bcc0e261,143.31,886.0154,1.4511,0.2043,0.8954,16.6571,2781.0067,21.417
bc33878cf1224dc0972dc1f4cd532bb9,178.21,1528.8264,1.4217,0.2837,0.8613,35.1988,2251.4679,32.2849
be5c9dc976444063921534abbf3d2821,172.27,2271.0018,1.2787,0.2151,0.7386,34.5408,1584.8282,22.4763
a8d5f9ae42304e7fbd2d4d5c4bb5183e,89.99,2010.8747,1.2712,0.2449,0.8385,32.7095,2078.3584,27.0532
5dbb26b59dd041a3bce227a4ebcdc96e,129.9,2264.2789,1.2257,0.2085,0.7215,23.4013,1661.2994,21.8111
62628a4b54014c32a2da69eaad683abf,133.75,2361.0931,1.3188,0.2645,0.8607,34.5461,2129.9599,29.1454
9067213c23404d019de393fee8a6ce92,101.0,1606.4833,1.4248,0.2588,0.8659,28.3351,2412.207,28.7241
1bedb695a73447d48f881136a8d4ee4a,89.97,2034.9699,1.3278,0.2292,0.8282,24.9961,2177.0189,25.5024
050c45d0736447129afc4cfc46b81a96,122.95,1547.3255,1.2755,0.2549,0.8638,33.0955,1612.9717,28.0271
4e96188d9585472799042c44dd88c2bc,109.68,1385.4752,1.0945,0.2206,0.8537,24.0805,1911.354,24.8158
323080801353436cb3a2d247f0798c24,135.96,2025.0232,1.2024,0.142,0.832,27.604,2049.5932,13.8077
7bb55a9c081a47d28171d9615b8661ef,119.11,2123.9202,1.3234,0.2944,0.8234,36.9654,2418.0541,34.8938
85519db0fada422988119b2d0a52604b,128.2,1329.6976,1.234,0.2481,0.8711,26.1307,2200.7944,27.7659
666caf7dc7104ad689c1d08d60203ef9,153.68,2066.1608,1.3418,0.2651,0.7852,29.5593,1913.6864,29.6685
fd4fe7a7384a4754b084f28b6629fb19,106.63,2090.6557,1.4023,0.2275,0.7955,22.766,1907.509,24.5889
16ee0701b3ce4925b0661392b592f636,117.6,2763.6808,1.4274,0.2361,0.8006,32.3727,2056.3347,25.597
3c965f288b6146d8af1ca10fd39b089e,149.97,1562.7417,1.2067,0.2484,0.9022,25.0635,2054.9021,27.6189
7a0ce375db314615b5d998ae0c18c47e,111.69,1170.4343,1.1107,0.1454,0.9268,15.3964,1747.398,13.198
c2e22e54376a47d7b4221307d6761bb7,148.91,1930.9528,1.3687,0.2887,0.8234,36.5686,2330.0121,33.3378
4075f6f2ca864a04b6d14f2ecf0756d4,100.98,2053.0542,1.3774,0.2146,0.7329,34.3226,2324.8748,23.058
c25ae77c154141a19669cdff0c366877,125.22,2043.8709,1.4048,0.3075,0.8305,33.1551,2393.1104,36.3319
d3b1ba58aabb4a2a92621dbebb1cad46,121.23,2057.4703,1.3277,0.2224,0.8482,33.8028,2311.5715,23.7735
