SymphonyKey,BPM,Rolloff,Flux,RMS,Flatness,SpectralComplexity,Pitch,Loudness
SYN_bfbbbd77-45ab-423f-ba65-87ec09752e9a,129.65,1707.2895,1.3321,0.3148,0.8244,32.8896,2128.5949,37.1335
SYN_148dcb22-d422-493a-92a3-c4da00cc1722,99.84,1328.5572,1.2336,0.1966,0.9242,25.0413,1907.9789,19.5017
SYN_8040abd9-95eb-4be0-9848-864b6329cef1,100.06,1934.3353,1.3653,0.1347,0.8586,16.6464,1807.5108,11.8235
SYN_7763f302-184c-4378-ae9f-cc37e3415054,86.97,1080.1571,1.2219,0.2597,0.9475,30.8597,2585.5437,28.6058
SYN_a6d2e6ce-07c5-4ddb-ac8d-94bd3c60d096,93.94,1604.182,1.2001,0.2518,0.8883,38.1817,2056.8468,27.5268
SYN_24608134-926c-48ee-b8f9-dad2d6ecf547,100.92,1673.2887,1.2423,0.2166,0.9004,29.8881,2192.9297,23.3016
SYN_76f4e930-66cc-4c43-b733-e56b5f64a150,150.16,1155.511,1.4218,0.3036,0.8564,25.3508,2684.7493,35.9182
SYN_cf90cfe1-ea73-4bfa-a326-f62dafd23817,97.05,1626.5428,1.2289,0.2657,0.8694,33.005,1860.3851,29.4205
SYN_ddc2e7a0-95c5-4336-ba07-9bafcdee7410,102.0,1832.725,1.3466,0.2321,0.7801,32.3706,2063.7877,25.4385
SYN_1bcabc69-dc9e-4dde-beeb-e505fadc7028,107.89,2478.1341,1.4221,0.2422,0.7778,26.7647,2318.728,26.8665
SYN_5fd0bc2d-c916-43ea-b6df-1291bb239ae7,122.22,1401.5597,1.1518,0.2091,0.9008,21.3362,2287.5013,22.2948
SYN_f77d6081-c43b-4df9-92ff-b4e212e25cee,104.88,1397.9528,1.362,0.2354,0.8254,26.3092,2402.7881,26.679
SYN_3cea5999-1cdf-4b74-b015-eb417a0347a0,142.12,2003.6417,1.3085,0.1957,0.8317,25.7311,2059.8171,20.3535
SYN_3c98e95b-2e5b-41b7-bcbe-cd329ad48dc5,114.67,911.7727,1.2797,0.3039,0.9304,28.8953,2755.4281,35.0052
SYN_3c51062b-936f-4ad1-adc1-791fd44b2cea,122.95,1557.141,1.3555,0.2961,0.8934,33.8047,2750.6078,34.0028
SYN_e47081af-9791-42d4-9c1b-9e93e80f3d82,117.7,1166.8842,1.3235,0.2126,0.9082,20.7593,2553.1109,23.1476
SYN_4dd32cef-50b9-483a-be57-e484cb9e5314,124.23,1290.9085,1.1678,0.3187,0.8511,43.0438,2067.4024,36.8162
