SongKey,Title,DiscNumber,TrackNumber,DurationMs,Popularity,FeaturingArtists,AlbumKey,LyricsKey,SymphonyKey,Category
40fd1661-f5c9-411f-8887-a10491777aba,Se non lo sai,1,12,283853,28.0,,84bbb202-0285-41b6-9bb9-9b650fa5fbe6,b407a95aad1c411c9ba6c2b73947d412,a2b75d03ecd84c9b82b448bbc2e9361f,italian_love
98021947-cc68-4b80-9a02-52c500e06cff,Mass Hysteria,1,4,266106,0.0,"Jesto, Hyst",65cb6ccb-3a5a-4529-9880-59fa351e0246,1fcf4a77b04644b3818b943abb98990f,488c23257fd841898e159fb96dd4c295,italian_pop
cc26bdbe-6143-471d-ac22-b7db702479d5,Ufficio Immaginazione,1,6,213506,54.0,DJ Ronin,e235692f-9377-4229-96c1-fb672e5fcac5,0e776c0fdc4449a785528c424e1ab559,503291dc485641be9caed89f1277db0f,italian_pop
72fcd283-bd5c-4af8-9535-83014eead392,È il momento,1,3,276720,21.0,,72125dc8-6301-4319-819a-ba902febb64d,ac127365b0584544bd264d85361d0131,5ebee85ea86f4e02924df256a5be3113,italian_pop
40e1d8c8-ba25-4834-aeda-0a19b52285ba,Paolo Odia Le Donne,1,1,190464,34.0,Tony Fine,0058f412-6c68-4244-ad19-9ba36064a8f5,f7056ae4fac24de4ba7077960b39934d,30814d15024c4d7db650af01360d8875,italian_pop
4b1a0af0-d98c-46f7-981f-81a65a079828,Correre Via,1,7,182769,66.0,Giuann Shadai,8a79f3ac-be63-4b84-ba1a-63f407fbce60,e59021a4117a4d84837a9b807ee55026,c03ce9917f6549df9b278c08321fe692,italian_pop
8879fe5e-1c1e-4b85-b78a-bfc9eab2d3f6,Sulle Batterie 3,1,3,276720,21.0,,72125dc8-6301-4319-819a-ba902febb64d,d83669b11f9945708d21786e6292c88f,136e582f8bff4df0990136703a87e1c2,rap_street
fef282fd-f2be-4885-a87b-6d5f4ee660c6,LA FINE,1,15,226720,15.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,dde81ba9f55446cfbc8e64d33945e94e,1f481bbfdcaa4015a7ea2b0fe2a61c79,storytelling
cfe029fb-f62a-4354-8413-2552511e88b7,Chiamiamolo Intro,1,8,170904,54.0,,764b9cdc-1fca-41fb-9696-7dfe943bb5b0,a7a6ae553ed34512b176a51cffa1cd5f,95cdca1a73134122b4320d7f093ffca2,english_pop
1ad529c2-7b45-4254-84a8-06b0a5036ad7,LUNGO IL TUNNEL,1,8,206586,18.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,97c151ae74da4c9f9f146cf954a05ebd,2aeaae9d17be4eb6b027661c206bd769,italian_pop
2c670857-6c5e-4e32-94c6-59b601dfdb78,Intro [Strumentale],1,3,130666,3.0,,58cfc8e8-a75c-4690-acf2-8143bd1a2288,ed87a8136c4b4e0e8e04c4592443a715,8ee008536cf544cc870c4a15fc9ec1ea,rap_street
