SongID_Original,BPM,Rolloff,Flux,RMS,Flatness,SpectralComplexity,Pitch,Loudness
7b127ad7-6e0d-4eff-a7cb-c4342c832745,117.95,1374.6311,1.3102,0.2608,0.8934,27.8856,2284.7715,29.4744
6246203e-b1e4-440b-8ec8-6809041cab49,95.97,1207.0864,1.3057,0.2515,0.9001,28.32,2270.7217,27.5154
009ea636-ce52-4727-814e-236ff3abfacb,96.45,1325.8035,1.2398,0.1128,0.8626,11.3287,2124.0971,9.9054
ba37327e-2402-459e-8414-fa0e373fab4b,164.02,1174.9606,1.3293,0.2359,0.911,24.7876,2493.6296,25.5162
e810984a-09ff-4fc8-91e0-a012b30cbb96,108.78,1725.3368,1.2915,0.2121,0.8805,30.8538,2497.8086,22.3439
e7f803fa-8bda-42e9-a935-ffddf580724e,100.04,1670.4844,1.52,0.2453,0.9022,25.5692,2064.7418,26.8753
b855d377-8981-4e0f-ae07-7f828da72c51,102.1,1878.3802,1.2554,0.2441,0.8411,33.6152,1812.3025,26.7746
9b422d7e-728a-4637-a532-aff51873f86b,104.97,1674.7742,1.3599,0.1661,0.8538,22.3497,1947.1835,16.0175
ba14b0fb-eb75-4f40-a4a4-c23763292e12,109.99,1853.48,1.3685,0.1882,0.8688,23.1512,2121.7348,18.4222
a94f83f1-9f4a-4ea4-afc3-93f3ecbc567b,102.05,1663.7935,1.2846,0.1809,0.8755,22.3882,2205.558,17.9614
b51b3ac9-aafb-4b91-b429-7da211752f09,81.95,1291.5644,1.2652,0.1136,0.9702,14.3702,2117.7696,9.4271
6b712def-c30c-4342-b8e5-b31dce46a6c2,142.14,1741.9075,1.2491,0.2636,0.8686,26.987,1983.0205,29.074
03f54055-355b-47ad-a024-37b87be185d9,164.93,1535.5513,1.3708,0.2494,0.8689,19.7827,2610.0362,27.326
75b7e97b-5e7b-4d44-8072-a7a83304b890,102.82,1877.3382,1.3278,0.2734,0.8226,33.5222,2507.9734,32.1987
