SongID_Original,ArtistID_Original
TR502290,ART62385172
TR976328,ART62385172
TR425526,ART62385172
TR157124,ART62385172
TR516579,ART62385172
TR516579,ART57616402
TR516579,ART85046033
TR210856,ART62385172
TR443902,ART62385172
TR980497,ART62385172
TR279695,ART62385172
TR168460,ART62385172
TR168460,ART80977821
TR587721,ART62385172
TR551149,ART62385172
TR457411,ART62385172
TR282769,ART62385172
TR282769,ART46851094
TR860226,ART62385172
TR833459,ART62385172
TR232110,ART62385172
TR814937,ART62385172
TR685706,ART62385172
TR798988,ART62385172
TR858129,ART62385172
TR641073,ART62385172
TR817897,ART62385172
TR142333,ART62385172
TR142333,ART78358659
TR142333,ART80977821
TR570962,ART62385172
TR167458,ART62385172
TR828210,ART62385172
TR761374,ART62385172
TR273271,ART62385172
TR164505,ART62385172
TR239033,ART62385172
TR239033,ART46851094
TR930622,ART62385172
TR654363,ART62385172
TR642387,ART62385172
TR721581,ART62385172
TR592577,ART62385172
TR342089,ART62385172
TR753814,ART62385172
TR845273,ART62385172
TR170640,ART62385172
TR524458,ART62385172
TR646149,ART62385172
TR813942,ART62385172
TR854840,ART62385172
TR379580,ART62385172
TR546120,ART62385172
TR196840,ART62385172
TR600833,ART62385172
TR664272,ART62385172
TR841253,ART62385172
TR773384,ART62385172
TR361077,ART62385172
TR316709,ART62385172
TR987058,ART62385172
TR588660,ART62385172
TR363999,ART62385172
TR629246,ART62385172
TR556899,ART62385172
TR977676,ART62385172
TR540322,ART62385172
TR445503,ART62385172
TR890233,ART62385172
TR278404,ART62385172
TR627235,ART62385172
TR477378,ART62385172
TR213701,ART62385172
TR213701,ART28717687
TR634614,ART62385172
TR494544,ART62385172
TR991112,ART62385172
TR830575,ART62385172
TR971575,ART62385172
TR490627,ART62385172
TR328380,ART62385172
TR640823,ART62385172
TR929854,ART62385172
TR522299,ART62385172
TR883076,ART62385172
TR742368,ART62385172
TR784129,ART62385172
TR216683,ART62385172
TR770137,ART62385172
TR761888,ART62385172
TR458543,ART62385172
TR323076,ART62385172
TR458139,ART62385172
TR894419,ART24123617
TR743674,ART24123617
TR724440,ART24123617
TR574185,ART24123617
TR800445,ART24123617
TR192834,ART24123617
TR283611,ART24123617
TR169033,ART24123617
TR544478,ART24123617
TR527101,ART24123617
TR527101,ART56320683
TR202541,ART24123617
TR607983,ART24123617
TR140970,ART24123617
TR437053,ART24123617
TR581473,ART24123617
TR862349,ART24123617
TR145722,ART24123617
TR186918,ART24123617
TR988853,ART24123617
