SongID_Original,SongTitle,DiscNumber,TrackNumber,DurationMS,Popularity,AlbumID_Original
1f244351-6d73-455f-9f92-1f7f2f53f59c,"Testa tra le nuvole, Pt. 0",1.0,4,172975,38.0,
0615fb4d-1d77-4384-b1a5-e3b78040f9e7,anna,1.0,4,181570,63.0,f2babc93-d096-4c1d-927e-d3bdf4633a3e
ac07c4a5-949b-4643-af95-3157e4ca13d2,tante mila volte,1.0,1,198320,56.0,
664589e0-3dfe-470c-98f2-0845e137e77b,ma so che era innamorato,1.0,2,140816,73.0,
9d5bd59c-140b-4741-a1ad-90a618cc0291,Temporale (24 marzo),1.0,6,201286,34.0,
0d6f953d-8ffd-46a3-bd02-d1d9738dc896,frida (Interlude),1.0,7,93414,46.0,
50e18432-615b-4951-9ad8-6773df6c1127,Mica Male (2017),1.0,12,223009,75.0,04b2687f-5a92-40ef-a050-eb496b263454
f63d78a6-b00d-4f15-b545-c67a2ee5b15e,Disegno,1.0,3,172000,42.0,
14151cc7-a443-4d8f-b04d-9021df302e6f,SNOB FREESTYLE,1.0,1,216322,5.0,7d38054e-0fe9-4db4-8ba6-bc888cd56465
8d03c386-bd4b-4715-92d1-a644315dcc1b,vabbè ciao,1.0,6,160268,64.0,
5c4337a4-c5ac-497f-bed0-a3c6cf49433b,CI SARÒ,1.0,1,180714,62.0,1345f731-5edc-4366-beb0-122e75360d4a
225d406f-808f-4cfd-8ae2-ef4f71e85502,Tempo al Tempo,1.0,1,155629,73.0,cf758f1f-a4cb-4ba7-ae07-1d8f12b2f93b
dac1b4b9-560d-442b-94fa-06e778e6575c,NoN La AsCoLTare,1.0,4,150360,43.0,
a5c07df7-8183-4894-88d8-0f542d0ab641,PARIGI,1.0,1,159125,46.0,5256eb48-88bc-4af3-833d-51453aac4862
db9737b6-0a05-471c-8cfb-a765884be297,Confusi,1.0,1,424565,0.0,a81440e0-b760-40e2-8a09-5f85d202f666
82041fc9-c845-4c1e-a60c-039623464164,PARIGI RMX,1.0,1,175489,41.0,7f67181d-2091-4fc3-b7b2-12879c930606
b5816827-647f-4b52-a292-85bd08ef5b1d,Serenata - From “Forever Out of My League”,1.0,1,138500,42.0,d110d099-6056-4349-9bc2-f23523a9f216
4ed13c97-3761-436e-a8cb-592114248d04,NoRd,1.0,6,202990,58.0,
a8ec4615-ab5b-4b0d-842e-264cb2c76001,Le Cose in Comune,1.0,1,151624,59.0,9f3c0cf5-fd23-465a-99a4-3242a431f781
9881defb-bc42-46ab-9f73-6f2f8793a3d2,You Make Me So Happy,1.0,1,142062,50.0,52d5f813-469e-4a40-bb3f-791a4d19b811
e5faa6f7-fd19-407b-aef0-83415ce0cf45,nei tuoi occhi cosa c’è,1.0,3,146823,49.0,
3f066d00-2d3a-4162-8227-8038d2d6fb66,come il sole,1.0,3,134985,56.0,
15560d5d-a9bc-425a-a9ca-60af2cebacdf,5 MINUTI,1.0,1,167162,55.0,44f07b51-dd64-4a55-a8ac-757cf50f65d2
c70b3145-6a88-4c69-9118-362d24abcf8c,SoLd OuT,1.0,9,138320,29.0,
72d9b028-adc8-4bbc-8d78-e0c6ae991100,non so chi ha creato il mondo,1.0,5,187403,71.0,
64544f4e-c598-4fa9-80bb-758c8b248160,StuPefaCenTe,1.0,10,143653,42.0,
81291f21-775c-4b92-8825-7be3e4a9a02c,il mio colore preferito,1.0,8,188311,44.0,
96ed149e-db54-4ba0-89fc-8cda7c29a8e0,dormono tutti,1.0,5,73762,50.0,
b6dd8299-b219-40ac-aed3-e32e1af6935c,ma tu come stai,1.0,10,180446,42.0,
b4b4ba42-e7e5-4a0d-b803-f8bfd214a683,NoN RicORdo il NOmE,1.0,8,147720,30.0,
1ac6f4ac-dfc0-43ad-88c2-d2d25e1f6658,Disegno (Piano E Voce),1.0,10,153163,31.0,
d258dce2-80cd-43c7-b3cd-ce8b75df6771,metti a posto:,1.0,16,112795,42.0,
d51532aa-33ea-4dfb-83e3-a0854eea6713,Wanderlust! (Piano E Voce),1.0,11,191501,31.0,
2ec6da09-1841-41bb-88cb-0cb6e2bbe059,WNDLST Freestyle,1.0,1,216322,5.0,
3d9ec9ee-eb02-4cc9-9cb0-7a2e8201269c,Alfa (Intro),1.0,1,109000,45.0,fcbf3344-0281-41d0-a7c6-943fb4c5cf33
16ef5d92-d300-4e72-8080-c3206e272b08,Mica Male,1.0,1,219794,17.0,ce54570e-687f-47a2-88d3-7e7a1a505594
fb469eb1-718a-4501-b7e4-c405b1fe6588,Supernova,1.0,11,208947,27.0,7552538d-59b2-4193-b611-ccc386823def
9d274c00-4958-4a40-8fe4-10e0e111210a,105 Mi Casa Mashup: Alfa con Cin Cin su Davide,1.0,1,187403,68.0,
4c0cbd80-3f37-43af-b11a-f7fdc36b49c5,COVID19 FREESTYLE,1.0,1,216322,5.0,
5c440062-e2af-42d5-892f-a1e9a1b702c2,Cerco un posto,1.0,1,99674,37.0,d407c0d8-f6a1-4256-be23-a8b73d3fa6a4
010140c6-ae08-4fa7-ac73-986247213c8c,Il mondo immobile,1.0,1,140816,75.0,
dccd968f-23fe-4201-a8f6-eb86f9e5c414,Stelle,1.0,1,174000,0.0,2f2f5367-d9c7-44b2-9682-d37276442fe4
16b69bed-21b8-4918-9832-ae896e6031d3,Tanti auguri mario.mp3,1.0,4,211360,69.0,d3e035cc-e14b-4732-b408-eaf1166bfd00
7c1dc3ae-492e-4344-aeca-787da791aef7,Via,1.0,1,569260,56.0,437a1827-d17e-4db1-9837-e9cf2d1b889b
d0c8f528-c3ca-44a3-a86d-083a1282d8fc,Wndrlst Freestyle,1.0,1,216322,5.0,
47e00bbc-3020-43a0-8bb7-8059bf9fbc05,Jet lag,1.0,1,194355,13.0,17cff96d-24ef-4168-8a28-0f64223acbc9
991b7443-f08c-4fb4-9387-802a3de63e5f,Papillon,1.0,1,170077,5.0,3bf3d00d-b9af-4cac-91db-ac9a63f87243
db1be2fe-125b-4888-91e7-2828008b1a13,AM Freestyle,1.0,14,242480,13.0,913c17b8-6cba-46fc-9a72-a9e2dd1f948e
27435b25-8ed4-46d0-ba0b-0b68cb6301f5,Okk Freestyle,1.0,1,216322,5.0,
111a2229-f32d-438e-823a-5e7ebb4ed998,Vivo Così,1.0,5,154229,46.0,7c372411-fd8e-4a95-87c5-919e4be88e82
e32507d8-c82c-4a01-9a1c-e6dfb6bb690d,M’ama,1.0,1,232986,38.0,13c6da1b-e1ce-4c50-b87f-d3160bcd3db6
da6faf3a-b4ec-4bae-827b-6533a7c9b8f6,ACUSTICA CI SARÒ,1.0,15,290426,2.0,6d96d4f4-78cc-4c3b-ac80-7ca0cb0f2cc4
052312ef-d35d-4c10-a491-b9ca5e825b2c,Ti scorderai,1.0,15,172654,66.0,79b17dae-b31a-4e13-8543-6840953ebdd7
0d7690d6-3b28-430e-abd8-1bfbc7af5872,Omega (Outro),1.0,9,68000,1.0,9f6d728e-4a5e-4723-931a-fe3ef70bbff0
b17757bf-a297-462b-bba8-f99b802ac43c,Ubriachi fanno cose freestyle,1.0,1,221204,56.0,b16f6176-eb6d-4121-8675-7a02f5c7d433
eac042bd-a8fa-4385-b105-a7ea8dc924c9,​blun7 a swishland,1.0,7,167760,56.0,997ce099-b53a-4bae-b91b-7cc651604725
2de4e0ec-2f63-4fea-992e-2114425bc9c9,​oh 9od,1.0,9,204467,57.0,
6695e3a5-0f19-4883-98c4-3ef87c66bf04,​fuck 3x,1.0,3,161266,59.0,
065f347e-10e8-4bd9-8998-513bb8a6ad7c,​sw1n6o,1.0,16,184037,51.0,
9138bff7-d1d9-4150-b044-2029971f0c93,​ch1 5ei te,1.0,15,183762,56.0,
14fcf6d6-ca7d-490c-ad68-d98e1993743f,​m12ano,1.0,12,188426,50.0,
0823e919-01fd-42bb-a263-2654b4494876,​occh1 purpl3,1.0,13,187821,47.0,
c06e7f5d-d949-4ae9-8a56-d73d87abbe8a,0ffline,1.0,1,201094,58.0,0cb4431b-e09c-4225-80a3-cc14372a8ddd
afd900e9-79b1-4bfd-8413-c78d05e9314d,​no14,1.0,14,176440,49.0,
0740123b-66b2-4b57-94d9-6632d7d8249a,​pers0na2,1.0,20,251511,47.0,
f3b433fe-dc8e-4b12-8b08-ff5cb2e4708e,​m8nstar,1.0,8,164825,51.0,
1d1ee5db-44da-4a5b-aa81-339063d0f7c9,​scuol4,1.0,4,169588,52.0,
6896e604-d208-41e6-8ae8-904f0c4d1a03,5olo,1.0,6,123039,45.0,
409eb0ae-49fd-4a1a-a38e-c87733c80eeb,​come fa1,1.0,2,128774,49.0,
ae504fa4-6270-477f-9e58-ad96185f58c4,​gua10,1.0,11,177223,46.0,
4b8b1c2e-879b-4819-be27-6ce7dfb9801f,2ollipop,1.0,3,149305,47.0,
ee635740-1f2e-4a60-b648-94f00e12e88b,6itch,1.0,7,150753,47.0,
f338dd49-c5e3-4ccb-bad2-648eff6736b0,​s!r!,1.0,15,237701,58.0,75c15371-915c-4d99-abb9-76d57fe25271
ad4b8fb5-e41d-4b48-9b2f-df7ee38e605b,​molecole (interlude),1.0,11,125089,52.0,
0584108e-a9bc-4cd9-b428-4c5afd38de75,7rapper ma1,1.0,18,86666,41.0,
ccf7d57a-68e5-4e27-bc1d-13727c566b77,​parano1a k1d,1.0,12,144098,44.0,
d4b54c1b-7e36-460e-8c22-2936c6a0e03d,​c!ao,1.0,19,212920,55.0,
c9e1220b-09ba-48f6-a36d-5775acc8a7f5,8rosk1,1.0,19,171733,44.0,
